"FREIE WÄHLER","Hinrichs","Rüdiger","Versicherungskaufmann","1959","23568","Lübeck"
"Die PARTEI","Ahlf","Viviane","Serviceassistenz der Standortkommunikation","1984","23560","Lübeck"
"dieBasis","Wöbke","Petra","Kauffrau","1960","23570","Lübeck"
"Volt","Hartenstein","Julia","Kunst- Wissenschaftlerin","1992","23552","Lübeck"
"BfL","Möller","Lothar","Automobilberater","1968","23569","Lübeck"
"GAL","Boitin","Ingrid","Buchhalterin i. R.","1952","23568","Lübeck"
"Die Unabhängigen","Prüß","Manfred","Elektroingenieur","1953","23568","Lübeck"

"CDU","Dr. Grohmann","Carsten","Arzt","1983","23568","Lübeck"
"SPD","Voß","Andreas","Angestellter / Geschäftsführer ASB","1961","23554","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Meier","Marilla","Gärtnerin im Gemüsebau","1972","23564","Lübeck"
"FDP","Manegold","Max","selbstständig","1992","23566","Lübeck"
"AfD","Groß","Dirk","Unternehmer","1973","23556","Lübeck"
"DIE LINKE","Kchaou","Mohamed","Rentner","1947","23558","Lübeck"
"FREIE WÄHLER","Voht","Gregor","Unternehmer","1990","23552","Lübeck"
"Die PARTEI","Tevers","Jakob","Altenpfleger","2003","23570","Lübeck"
"dieBasis","Wöbke","Mike","Fisch- und Weinsommelier","1966","23570","Lübeck"
"Volt","Freitag","Matthias","Security Kraft","1974","23558","Lübeck"
"BfL","Krause","Volker","Kaufmann Rentner","1952","23568","Lübeck"
"GAL","Lenz","Helga","Geschäftsführerin","1956","23566","Lübeck"
"Die Unabhängigen","Federsel","Susanne","Medizinische Fachangestellte","1962","23556","Lübeck"

"CDU","Wargenau","Horst-Georg","Lehrer","1956","23570","Lübeck"
"SPD","Puhle","Jörn","Tischler / Erzieher","1971","23569","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Helzel","Astrid","Selbstständige Personalberaterin","1971","23556","Lübeck"
"FDP","Hussein","Kardo","Student der Rechtswissenschaften","2001","23562","Lübeck"
"AfD","Schmidt","Horst","Rentner","1941","23570","Lübeck"
"DIE LINKE","Müller","Dirk","Taxifahrer (Vollzeit)","1982","23569","Lübeck"
"FREIE WÄHLER","Zelas","Adelheid","Pflegedienstleitung","1964","23569","Lübeck"
"Die PARTEI","Mittelstädt","Mailo","Zahntechniker","1992","23554","Lübeck"
"dieBasis","Ingwersen-Polte","Margret","Lehrerin i. R.","1955","23569","Lübeck"
"Volt","Kelly","Kathrin","Ärztin","1990","23564","Lübeck"
"BfL","Möller","Nathalie","Immobilienkauffrau","1995","23556","Lübeck"
"GAL","Biehlig","Carsten","Dipl. Ing. Architekt","1969","23552","Lübeck"
"Die Unabhängigen","Wulf","Bernd","Haustechniker","1968","23554","Lübeck"
"DKP","Pisot","John","Lagerist","1998","23554","Lübeck"

"CDU","Zimmermann","Jens","Projektleiter","1976","23568","Lübeck"
"SPD","Prüß","Renate","Dipl. Sozialpädagogin","1957","23569","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Giercke","Ralf","Geschäftsführer","1955","23569","Lübeck"
"FDP","Kassube","Nils","Informatiker","1975","23558","Lübeck"
"AfD","Callies","Knud","Groß- und Außenhandelskaufmann","1963","23564","Lübeck"
"DIE LINKE","Karrenbrock","Thomas","qualifizierte Tagespflegeperson","1969","23569","Lübeck"
"FREIE WÄHLER","Misch","Thomas","Geschäftsführer","1957","23570","Lübeck"
"Die PARTEI","Alam","Ali","Grafiker","1980","23570","Lübeck"
"dieBasis","Maxeiner","Iris","Controllerin","1966","23564","Lübeck"
"Die Humanisten","Eddelbüttel","Alexander","IT-Gruppenleiter","1986","23569","Lübeck"
"BfL","Müller","Reinhard","Briefmarken und Münzhändler","Rentner","1953","23569","Lübeck"
"GAL","List","David","Schauspieler und Theaterpädagoge","1988","23564","Lübeck"
"Die Unabhängigen","Matthies","Michael","Restaurator","1962","23570","Lübeck"
"DKP","Bergmann","Gunnar","Softwareentwickler","1993","23552","Lübeck"

"CDU","Mauritz","Jochen","Unternehmer","1971","23570","Lübeck"
"SPD","Kohlfaerber","Klaudia","selbstständige Architektin","1950","23570","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Schüler","Peter","Dipl. Physik-Ingenieur i. R.","1956","23569","Lübeck"
"FDP","Prangel","Tobias","Kaufmann für Versicherungen und Finanzen","1997","23570","Lübeck"
"AfD","Twesten","Jörn","Zimmerermeister","1974","23568","Lübeck"
"DIE LINKE","Wulff","Juliane","Mitarbeiterin Marli GmbH","1987","23569","Lübeck"
"FREIE WÄHLER","Voht","Ingo","Gas- und Wasserinstallateurmeister","1963","23569","Lübeck"
"Die PARTEI","Jürß","Daniel","Koch","1970","23570","Lübeck"
"dieBasis","Böseler-Adler","Jana","Heilpraktikerin","1972","23570","Lübeck"
"Volt","Thomas","Max","Assistenzarzt","1990","23552","Lübeck"
"BfL","Blum","Hans-Dieter","Rentner","1937","23570","Lübeck"
"GAL","Howe","Carl-Wilhelm","Acrhitekt","Dip. Ing. i. R.","1947","23568","Lübeck"
"Die Unabhängigen","Mielke","Markus","Müllwerker","1966","23570","Lübeck"

"CDU","Schumann","Henning","Finanzwirt","1969","23570","Lübeck"
"SPD","Johannsen","Denise","Angestellte Seebestatterin","1985","23570","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Dr. Schwarz","Barbara","Juristin i. R.","1945","23570","Lübeck"
"FDP","Leber","Thomas","Unternehmensberater","1966","23552","Lübeck"
"AfD","Buuck","Andreas","Wachmann","1977","23560","Lübeck"
"DIE LINKE","Zunft","Leevke","arbeitssuchend","2003","23552","Lübeck"
"FREIE WÄHLER","Gellentin","Evelin","Bäckereifachverkäuferin","1953","23570","Lübeck"
"Die PARTEI","Abbe","Carsten","Hotelier","1970","23570","Lübeck"
"dieBasis","Adler","Jürgen","Diplom-Ingenieur","1964","23570","Lübeck"
"BfL","Dr. Körnich","Jörn-Heiko","Wirtschaftsjurist","1939","23570","Lübeck"
"GAL","Westphal","Ulrike","Diplom Sozialökonomin i. R.","1952","23566","Lübeck"
"Die Unabhängigen","Hallmann","Sabine","Pflegeassistentin","1954","23570","Lübeck"
