"GAL","Biehlig","Carsten","Dipl. Ing. Architekt","1969","23552","Lübeck","22"
"Die Unabhängigen","Wulf","Bernd","Haustechniker","1968","23554","Lübeck","22"
"DKP","Pisot","John","Lagerist","1998","23554","Lübeck","22"
"CDU","Zimmermann","Jens","Projektleiter","1976","23568","Lübeck","23"
"SPD","Prüß","Renate","Dipl. Sozialpädagogin","1957","23569","Lübeck","23"
"BÜNDNIS 90/DIE GRUENEN","Giercke","Ralf","Geschäftsführer","1955","23569","Lübeck","23"
"FDP","Kassube","Nils","Informatiker","1975","23558","Lübeck","23"
"AfD","Callies","Knud","Groß- und Außenhandelskaufmann","1963","23564","Lübeck","23"
"DIE LINKE","Karrenbrock","Thomas","qualifizierte Tagespflegeperson","1969","23569","Lübeck","23"
"FREIE WÄHLER","Misch","Thomas","Geschäftsführer","1957","23570","Lübeck","23"
"Die PARTEI","Alam","Ali","Grafiker","1980","23570","Lübeck","23"
"dieBasis","Maxeiner","Iris","Controllerin","1966","23564","Lübeck","23"
"Die Humanisten","Eddelbüttel","Alexander","IT-Gruppenleiter","1986","23569","Lübeck","23"
"BfL","Müller","Reinhard","Briefmarken und Münzhändler","Rentner","1953","23569","Lübeck","23"
"GAL","List","David","Schauspieler und Theaterpädagoge","1988","23564","Lübeck","23"
"Die Unabhängigen","Matthies","Michael","Restaurator","1962","23570","Lübeck","23"
"DKP","Bergmann","Gunnar","Softwareentwickler","1993","23552","Lübeck","23"
"CDU","Mauritz","Jochen","Unternehmer","1971","23570","Lübeck","24"
"SPD","Kohlfaerber","Klaudia","selbstständige Architektin","1950","23570","Lübeck","24"
"BÜNDNIS 90/DIE GRUENEN","Schüler","Peter","Dipl. Physik-Ingenieur i. R.","1956","23569","Lübeck","24"
"FDP","Prangel","Tobias","Kaufmann für Versicherungen und Finanzen","1997","23570","Lübeck","24"
"AfD","Twesten","Jörn","Zimmerermeister","1974","23568","Lübeck","24"
"DIE LINKE","Wulff","Juliane","Mitarbeiterin Marli GmbH","1987","23569","Lübeck","24"
"FREIE WÄHLER","Voht","Ingo","Gas- und Wasserinstallateurmeister","1963","23569","Lübeck","24"
"Die PARTEI","Jürß","Daniel","Koch","1970","23570","Lübeck","24"
"dieBasis","Böseler-Adler","Jana","Heilpraktikerin","1972","23570","Lübeck","24"
"Volt","Thomas","Max","Assistenzarzt","1990","23552","Lübeck","24"
"BfL","Blum","Hans-Dieter","Rentner","1937","23570","Lübeck","24"
"GAL","Howe","Carl-Wilhelm","Acrhitekt","Dip. Ing. i. R.","1947","23568","Lübeck","24"
"Die Unabhängigen","Mielke","Markus","Müllwerker","1966","23570","Lübeck","24"
"CDU","Schumann","Henning","Finanzwirt","1969","23570","Lübeck","25"
"SPD","Johannsen","Denise","Angestellte Seebestatterin","1985","23570","Lübeck","25"
